timestamp,source_ip,data
2026-05-13 17:23:45,192.168.1.100,Hello from ESP32! uptime=
2026-05-13 17:23:45,192.168.1.100,11020595ms
2026-05-13 17:23:50,192.168.1.100,Hello from ESP32! uptime=
2026-05-13 17:23:50,192.168.1.100,11025599ms
2026-05-13 17:23:55,192.168.1.100,Hello from ESP32! uptime=
2026-05-13 17:23:56,192.168.1.100,11030605ms
2026-05-13 17:24:00,192.168.1.100,Hello from ESP32! uptime=
2026-05-13 17:24:01,192.168.1.100,11035611ms
2026-05-13 17:24:05,192.168.1.100,Hello from ESP32! uptime=
2026-05-13 17:24:06,192.168.1.100,11040617ms
2026-05-13 17:24:10,192.168.1.100,Hello from ESP32! uptime=
2026-05-13 17:24:11,192.168.1.100,11045623ms
2026-05-13 17:24:15,192.168.1.100,Hello from ESP32! uptime=
2026-05-13 17:24:16,192.168.1.100,11050629ms
2026-05-13 17:24:21,192.168.1.100,Hello from ESP32! uptime=
2026-05-13 17:24:21,192.168.1.100,11055635ms
2026-05-18 11:31:50,192.168.1.100,Hello from ESP32! uptime=
2026-05-18 11:31:51,192.168.1.100,19031ms
2026-05-18 11:31:55,192.168.1.100,Hello from ESP32! uptime=
2026-05-18 11:31:56,192.168.1.100,24035ms
2026-05-18 11:32:00,192.168.1.100,Hello from ESP32! uptime=
2026-05-18 11:32:00,192.168.1.100,29040ms
2026-05-18 11:32:05,192.168.1.100,Hello from ESP32! uptime=
2026-05-18 11:32:05,192.168.1.100,34045ms
2026-05-18 11:32:10,192.168.1.100,Hello from ESP32! uptime=
2026-05-18 11:32:10,192.168.1.100,39051ms
2026-05-18 11:32:15,192.168.1.100,Hello from ESP32! uptime=
2026-05-18 11:32:15,192.168.1.100,44057ms
2026-05-18 11:32:20,192.168.1.100,Hello from ESP32! uptime=
2026-05-18 11:32:20,192.168.1.100,49062ms
2026-05-18 11:32:51,192.168.1.100,0;-7.48;-0.06;-7.17;0.01;-0.12;-0.02
2026-05-18 11:32:56,192.168.1.100,1;-7.43;-0.08;-7.12;0.01;-0.15;-0.02
2026-05-18 11:33:02,192.168.1.100,2;-7.52;-0.06;-7.12;0.01;-0.14;-0.02
2026-05-18 11:33:06,192.168.1.100,3;-7.18;-0.11;-7.12;0.01;-0.16;-0.02
2026-05-18 11:33:12,192.168.1.100,4;-7.58;-0.04;-7.04;0.02;-0.00;-0.05
2026-05-18 11:33:17,192.168.1.100,5;-7.64;-0.05;-7.14;0.01;-0.14;-0.02
2026-05-18 11:33:22,192.168.1.100,6;-7.47;-0.03;-6.98;0.02;-0.13;-0.02
2026-05-18 11:33:27,192.168.1.100,7;-7.47;-0.05;-7.05;0.03;-0.05;-0.04
2026-05-18 11:33:31,192.168.1.100,8;-7.52;-0.07;-7.14;0.03;-0.04;-0.03
2026-05-18 11:33:36,192.168.1.100,9;-7.45;-0.09;-7.15;0.03;-0.06;-0.03
2026-05-18 11:33:41,192.168.1.100,10;-7.48;-0.09;-7.09;0.02;-0.09;-0.03
2026-05-18 11:33:46,192.168.1.100,11;-7.41;-0.09;-7.07;0.03;-0.03;-0.04
2026-05-18 11:33:52,192.168.1.100,12;-7.44;-0.07;-7.07;0.04;0.05;-0.05
2026-05-18 11:33:58,192.168.1.100,13;-7.47;-0.10;-7.23;0.04;0.05;-0.05
2026-05-18 11:34:02,192.168.1.100,14;-7.47;-0.09;-7.22;0.03;-0.06;-0.03
2026-05-18 11:34:06,192.168.1.100,15;-7.45;-0.07;-7.09;0.02;-0.10;-0.02
2026-05-18 11:34:12,192.168.1.100,16;-7.40;-0.06;-7.06;0.03;-0.04;-0.03
2026-05-18 11:34:17,192.168.1.100,17;-7.40;-0.04;-7.04;0.04;0.04;-0.05
2026-05-18 11:34:21,192.168.1.100,18;-7.25;0.05;-7.12;0.05;0.17;-0.07
2026-05-18 11:35:53,192.168.1.100,0;-9.68;-1.95;-3.25;0.17;-0.03;0.00
2026-05-18 11:35:53,192.168.1.100,1;-9.67;-1.96;-3.11;0.15;-0.01;-0.02
2026-05-18 11:35:53,192.168.1.100,2;-9.81;-1.91;-3.14;0.12;-0.01;-0.04
2026-05-18 11:35:53,192.168.1.100,3;-9.72;-1.95;-3.22;0.07;-0.15;-0.02
2026-05-18 11:35:53,192.168.1.100,4;-9.68;-1.94;-3.35;0.05;-0.12;-0.05
2026-05-18 11:35:53,192.168.1.100,5;-9.53;-1.99;-3.50;0.06;-0.06;-0.08
2026-05-18 11:35:53,192.168.1.100,6;-9.45;-2.07;-3.57;0.06;-0.06;-0.08
2026-05-18 11:35:53,192.168.1.100,7;-9.28;-2.10;-3.61;0.07;-0.03;-0.09
2026-05-18 11:35:53,192.168.1.100,8;-9.26;-2.12;-3.64;0.07;-0.03;-0.09
2026-05-18 11:35:53,192.168.1.100,9;-9.33;-2.14;-3.73;0.05;-0.15;-0.05
2026-05-18 11:35:53,192.168.1.100,10;-9.18;-2.18;-3.73;0.06;-0.12;-0.04
2026-05-18 11:35:53,192.168.1.100,11;-9.16;-2.16;-3.73;0.07;-0.17;-0.02
2026-05-18 11:35:53,192.168.1.100,12;-9.17;-2.15;-3.61;0.11;-0.01;-0.05
2026-05-18 11:35:54,192.168.1.100,13;-9.71;-2.06;-3.73;0.09;-0.15;-0.01
2026-05-18 11:35:54,192.168.1.100,14;-9.19;-2.06;-3.45;0.12;-0.01;-0.04
2026-05-18 11:35:54,192.168.1.100,15;-9.55;-2.00;-3.16;0.11;0.01;-0.05
2026-05-18 11:35:54,192.168.1.100,16;-9.65;-2.01;-3.08;0.07;-0.06;-0.04
2026-05-18 11:35:54,192.168.1.100,17;-9.65;-2.04;-3.07;0.02;-0.12;-0.03
2026-05-18 11:35:54,192.168.1.100,18;-9.69;-2.07;-3.22;-0.01;-0.22;-0.03
2026-05-18 11:35:54,192.168.1.100,19;-9.73;-2.10;-3.50;-0.02;-0.22;-0.04
2026-05-18 11:35:54,192.168.1.100,20;-9.39;-2.14;-3.48;0.00;-0.14;-0.07
2026-05-18 11:35:54,192.168.1.100,21;-9.34;-2.10;-3.61;0.01;-0.08;-0.09
2026-05-18 11:35:55,192.168.1.100,22;-9.34;-2.15;-3.51;0.03;-0.01;-0.10
2026-05-18 11:35:55,192.168.1.100,23;-9.26;-2.18;-3.86;0.01;-0.14;-0.06
2026-05-18 11:35:55,192.168.1.100,24;-9.19;-2.26;-3.95;0.02;-0.16;-0.04
2026-05-18 11:35:55,192.168.1.100,25;-9.20;-2.32;-4.01;0.03;-0.23;-0.02
2026-05-18 11:35:55,192.168.1.100,26;-9.37;-2.32;-3.94;0.07;-0.23;-0.01
2026-05-18 11:35:55,192.168.1.100,27;-9.34;-2.23;-3.79;0.11;-0.18;-0.02
2026-05-18 11:35:55,192.168.1.100,28;-9.46;-2.15;-3.35;0.12;-0.17;-0.02
2026-05-18 11:35:55,192.168.1.100,29;-9.53;-2.05;-2.98;0.12;-0.13;-0.04
2026-05-18 11:35:55,192.168.1.100,30;-9.62;-2.00;-2.84;0.09;-0.13;-0.05
2026-05-18 11:35:55,192.168.1.100,31;-9.46;-2.03;-2.89;0.05;-0.13;-0.06
2026-05-18 11:35:55,192.168.1.100,32;-9.41;-2.12;-3.13;0.03;-0.09;-0.07
2026-05-18 11:35:55,192.168.1.100,33;-9.57;-2.20;-3.43;0.00;-0.18;-0.06
2026-05-18 11:35:56,192.168.1.100,34;-9.34;-2.25;-3.44;0.01;-0.20;-0.04
2026-05-18 11:35:56,192.168.1.100,35;-9.28;-2.20;-3.21;0.04;-0.12;-0.06
2026-05-18 11:35:56,192.168.1.100,36;-9.53;-2.15;-3.05;0.04;-0.07;-0.07
2026-05-18 11:35:56,192.168.1.100,37;-9.47;-2.14;-3.08;0.02;-0.09;-0.06
2026-05-18 11:35:56,192.168.1.100,38;-9.49;-2.16;-3.18;0.01;-0.05;-0.08
2026-05-18 11:35:56,192.168.1.100,39;-9.49;-2.20;-3.30;-0.00;-0.10;-0.08
2026-05-18 11:35:56,192.168.1.100,40;-9.22;-2.24;-3.59;0.01;-0.01;-0.09
2026-05-18 11:35:56,192.168.1.100,41;-9.42;-2.32;-3.74;0.02;-0.04;-0.08
2026-05-18 11:35:56,192.168.1.100,42;-9.37;-2.29;-3.46;0.03;-0.12;-0.06
