

 Movement
0;0.53;-2.69;12.35;-0.09;-2.03;-4.33
1;-2.42;-2.35;11.86;-0.05;-2.13;-4.32
2;-4.98;-1.89;11.15;-0.06;-2.23;-4.13
3;-7.00;-1.42;10.66;-0.10;-2.13;-3.82
4;-9.11;-0.69;10.27;-0.15;-1.88;-3.39
5;-10.86;0.17;10.26;-0.19;-1.65;-2.84
6;-12.41;0.88;10.80;-0.21;-1.23;-2.18
7;-13.74;1.53;11.57;-0.16;-0.68;-1.43
8;-15.02;1.95;12.23;-0.06;-0.22;-0.59
9;-15.61;2.06;12.79;0.09;0.20;0.30
10;-15.25;1.77;12.87;0.25;0.57;1.23
11;-13.69;1.06;12.49;0.40;0.89;2.10
12;-11.36;0.20;11.88;0.50;1.18;2.83
13;-9.17;-0.55;10.96;0.55;1.43;3.41
14;-6.67;-1.26;10.45;0.53;1.41;3.84
15;-4.14;-1.85;10.32;0.49;1.49;4.14
16;-1.84;-2.30;10.36;0.43;1.61;4.30
17;0.26;-2.57;10.54;0.38;1.71;4.34
18;3.06;-2.35;10.48;0.35;1.81;4.29
19;6.88;-2.05;10.07;0.29;1.74;4.12
20;11.73;-1.78;9.52;0.22;1.68;3.71
21;16.80;-1.41;9.55;0.11;1.32;2.93
22;20.60;-1.05;9.88;-0.00;0.80;1.68
23;21.34;-0.42;10.12;-0.11;0.06;0.19
24;19.30;-0.20;10.21;-0.18;-0.79;-1.13
25;16.50;-0.77;10.58;-0.22;-1.24;-2.20
26;12.56;-1.40;10.67;-0.26;-1.45;-3.07
27;9.31;-2.07;11.27;-0.29;-1.68;-3.73
28;5.84;-2.49;11.80;-0.29;-1.82;-4.18
29;2.54;-2.66;12.28;-0.28;-1.96;-4.47
30;-1.00;-2.50;12.49;-0.23;-2.04;-4.56
31;-4.08;-2.08;13.01;-0.16;-2.02;-4.45
32;-7.05;-1.12;13.13;-0.05;-1.78;-4.12
33;-9.69;-0.08;13.05;0.08;-1.52;-3.59
34;-11.51;0.82;12.77;0.23;-1.15;-2.91
35;-12.94;1.60;11.90;0.37;-0.77;-2.16
36;-13.79;2.28;10.98;0.47;-0.36;-1.37
37;-14.77;2.62;9.98;0.52;0.04;-0.55
38;-15.31;2.74;9.05;0.53;0.37;0.31
39;-14.52;2.51;8.21;0.47;0.61;1.19
40;-12.75;1.81;7.70;0.36;0.90;1.97
41;-10.56;1.14;7.69;0.21;1.12;2.59
42;-9.17;0.66;8.20;0.07;1.23;3.06
43;-7.85;0.05;9.22;-0.04;1.22;3.46
44;-6.34;-0.51;10.06;-0.07;1.36;3.81
45;-4.70;-1.02;10.41;-0.10;1.38;4.09
46;-2.62;-1.65;10.54;-0.10;1.45;4.26
47;-0.61;-1.96;10.52;-0.12;1.55;4.31
48;1.61;-2.03;10.59;-0.16;1.59;4.26
49;4.55;-1.85;10.52;-0.19;1.60;4.12
50;8.03;-1.62;10.32;-0.24;1.52;3.83
51;11.92;-1.52;10.29;-0.29;1.30;3.33
52;16.35;-1.28;10.84;-0.32;1.07;2.48
53;19.58;-0.93;11.31;-0.35;0.56;1.29
54;20.91;-0.76;11.94;-0.37;-0.18;-0.10
55;19.39;-0.86;12.18;-0.36;-0.84;-1.46
56;16.31;-1.34;12.15;-0.34;-1.32;-2.58
57;12.60;-2.16;12.16;-0.31;-1.67;-3.46
58;8.79;-3.00;12.21;-0.28;-1.92;-4.16
59;4.89;-3.47;12.01;-0.27;-2.09;-4.63
60;1.10;-3.64;11.92;-0.29;-2.28;-4.90
61;-2.38;-3.48;12.08;-0.31;-2.43;-4.95
62;-5.80;-2.82;12.42;-0.30;-2.44;-4.77
63;-8.52;-1.78;12.91;-0.22;-2.22;-4.33
64;-11.44;-0.52;12.79;-0.09;-1.77;-3.65
65;-13.47;0.72;12.45;0.02;-1.38;-2.79
66;-14.21;1.67;12.17;0.11;-0.90;-1.85
67;-14.35;2.03;11.72;0.22;-0.39;-0.91
68;-13.85;2.09;11.13;0.32;-0.02;-0.02
69;-13.02;2.03;10.45;0.40;0.28;0.81
70;-11.60;1.64;9.96;0.42;0.57;1.57
71;-10.02;1.08;10.03;0.41;0.86;2.21
72;-8.51;0.57;10.31;0.41;1.09;2.78
73;-6.94;0.08;10.57;0.40;1.18;3.25
74;-4.73;-0.51;11.29;0.40;1.24;3.62
75;-2.31;-1.03;11.64;0.45;1.44;3.90
76;0.85;-1.45;11.25;0.51;1.50;4.06
77;4.88;-1.67;10.47;0.54;1.60;4.03
78;8.87;-1.60;9.35;0.50;1.63;3.75
79;13.18;-1.38;8.94;0.40;1.48;3.16
80;17.20;-0.92;8.58;0.26;1.16;2.26
81;20.01;-0.46;8.61;0.10;0.67;1.11
82;20.89;-0.22;8.80;-0.06;0.03;-0.21
83;18.36;-0.14;9.08;-0.20;-0.69;-1.47
84;14.91;-0.44;9.60;-0.29;-1.08;-2.46
85;10.78;-0.88;10.21;-0.34;-1.19;-3.18
86;7.03;-1.39;10.90;-0.36;-1.32;-3.70
87;3.07;-1.37;11.28;-0.32;-1.38;-3.99
88;-0.07;-1.21;11.64;-0.29;-1.65;-4.07
89;-2.88;-0.78;11.77;-0.22;-1.62;-3.96
90;-5.43;-0.23;11.71;-0.14;-1.45;-3.65
91;-7.70;0.41;11.44;-0.06;-1.22;-3.19
92;-9.38;0.99;11.17;0.01;-0.92;-2.62
93;-10.52;1.29;10.80;0.05;-0.71;-2.00
94;-11.33;1.32;10.42;0.07;-0.52;-1.37
95;-11.82;1.43;10.39;0.08;-0.27;-0.74
96;-12.49;1.57;10.66;0.09;-0.02;-0.08
97;-12.77;1.47;11.25;0.13;0.25;0.62
98;-12.67;1.45;11.74;0.20;0.54;1.33
99;-11.53;1.08;12.12;0.29;0.80;2.02
100;-9.83;0.53;12.12;0.38;1.04;2.62
101;-7.90;-0.00;11.69;0.45;1.24;3.11
102;-5.95;-0.60;11.11;0.47;1.29;3.47
103;-3.97;-0.96;10.95;0.50;1.40;3.74
104;-2.06;-1.19;10.68;0.49;1.46;3.89
105;0.26;-1.22;10.11;0.46;1.49;3.97
106;3.62;-1.01;9.37;0.41;1.52;3.96
107;7.44;-0.75;8.78;0.32;1.49;3.79
108;11.83;-0.85;8.29;0.20;1.40;3.32
109;15.66;-0.65;8.38;0.05;1.12;2.49
110;18.21;-0.21;8.67;-0.10;0.54;1.36
111;19.07;0.08;9.17;-0.24;-0.13;0.13
112;18.16;0.05;9.97;-0.33;-0.69;-1.01
113;15.95;-0.42;10.81;-0.38;-1.07;-2.01
114;12.53;-0.94;11.53;-0.38;-1.30;-2.88
115;8.77;-1.42;12.13;-0.35;-1.49;-3.51
116;5.03;-1.67;12.57;-0.30;-1.74;-3.92
117;2.12;-1.85;12.99;-0.22;-1.80;-4.13
118;-1.03;-1.66;13.05;-0.12;-1.84;-4.17
119;-3.56;-1.36;13.11;-0.02;-1.90;-4.06



 Movement
0;-10.51;3.90;8.31;-0.77;-2.47;-2.54
1;-13.54;4.68;9.37;-0.69;-1.33;-1.94
2;-16.50;5.54;9.81;-0.54;-0.29;-1.13
3;-18.26;5.82;9.71;-0.41;0.31;-0.20
4;-17.81;5.53;9.18;-0.35;0.46;0.68
