

 Movement
0;3.96;3.64;7.67;0.01;0.21;0.29
1;4.56;3.59;7.57;-0.02;0.35;0.33
2;5.17;3.57;7.39;-0.06;0.50;0.34
3;5.67;3.65;7.25;-0.11;0.66;0.34
4;6.00;3.51;7.13;-0.16;0.85;0.32
5;6.15;3.45;7.15;-0.22;1.01;0.29
6;6.38;3.22;7.37;-0.28;1.13;0.26
7;6.71;3.11;7.59;-0.32;1.21;0.21
8;6.94;2.95;7.62;-0.35;1.24;0.13
9;7.27;2.80;7.56;-0.37;1.23;0.03
10;8.15;2.53;7.88;-0.41;1.27;-0.09
11;9.63;2.18;8.79;-0.43;1.30;-0.26
12;11.54;1.72;9.69;-0.39;1.05;-0.56
13;14.38;1.38;10.55;-0.31;0.33;-1.02
14;17.02;0.71;11.12;-0.22;-0.78;-1.77
15;18.33;-0.30;11.45;-0.14;-2.05;-2.82
16;16.58;-1.85;11.03;-0.06;-2.71;-3.97
17;12.11;-2.79;10.64;-0.07;-3.16;-4.84
18;7.16;-3.23;9.10;-0.16;-3.68;-5.40
19;2.37;-3.26;8.26;-0.34;-4.02;-5.53
20;-1.16;-2.74;7.73;-0.58;-4.05;-5.33
21;-3.45;-1.98;7.73;-0.84;-3.63;-4.91
22;-5.21;-0.88;8.51;-1.03;-2.80;-4.37
23;-6.70;0.04;9.08;-1.10;-1.95;-3.76
24;-7.78;1.15;9.28;-1.10;-1.31;-3.13
25;-8.56;1.71;8.85;-1.08;-0.80;-2.52
26;-8.73;1.89;8.09;-1.08;-0.42;-1.92
27;-8.19;1.99;8.09;-1.15;-0.10;-1.38
28;-7.97;2.19;8.87;-1.19;0.39;-0.94
29;-8.19;2.46;9.89;-1.18;0.65;-0.52
30;-8.27;2.72;10.98;-1.10;0.60;-0.09
31;-7.93;2.90;12.08;-0.98;0.57;0.30
32;-7.91;2.78;12.98;-0.82;0.55;0.68
33;-7.23;2.52;13.98;-0.60;0.75;1.07
34;-6.45;2.17;14.41;-0.37;1.04;1.48
35;-5.12;1.90;14.16;-0.13;1.09;1.81
36;-4.82;1.73;13.18;0.07;1.07;2.03
37;-5.91;1.44;12.38;0.18;1.15;2.26
38;-7.55;0.88;11.72;0.24;1.39;2.70
39;-8.07;0.08;11.16;0.26;1.52;3.29
40;-6.22;-1.14;10.13;0.25;1.82;3.90
41;-3.72;-1.78;8.82;0.12;2.56;4.37
42;-1.71;-2.25;8.29;-0.16;3.42;4.62
43;-0.87;-2.90;8.78;-0.49;3.88;4.76
44;-0.40;-3.28;10.18;-0.77;3.76;4.81
45;0.11;-3.59;11.82;-0.94;3.51;4.82
46;1.56;-3.99;12.91;-0.99;3.41;4.78
47;3.34;-3.73;13.49;-1.02;3.72;4.67
48;4.27;-3.29;13.84;-1.06;3.76;4.41
49;4.95;-2.68;14.26;-1.02;3.24;4.06
50;5.35;-2.07;14.38;-0.92;2.63;3.67
51;5.90;-1.53;13.82;-0.80;2.17;3.28
52;6.59;-0.99;12.87;-0.71;1.83;2.87
53;7.24;-0.69;12.08;-0.65;1.44;2.39
54;7.34;-0.32;11.60;-0.62;1.17;1.89
55;6.39;-0.11;11.50;-0.60;0.94;1.41
56;4.97;0.04;11.56;-0.56;0.78;1.06
57;3.72;0.21;11.23;-0.49;0.57;0.80
58;3.08;0.15;10.61;-0.44;0.34;0.61
59;2.97;0.13;10.17;-0.43;0.18;0.45
60;3.16;-0.10;9.82;-0.43;0.15;0.30
61;3.02;-0.17;9.85;-0.47;0.22;0.12
62;2.40;-0.37;9.99;-0.49;0.35;-0.06
63;1.73;-0.66;10.11;-0.49;0.44;-0.16
64;1.73;-0.86;10.23;-0.51;0.49;-0.21
65;2.61;-0.97;10.13;-0.52;0.63;-0.29
66;4.24;-1.32;9.65;-0.53;0.72;-0.47
67;6.78;-1.33;9.75;-0.58;0.74;-0.76
68;10.35;-1.92;10.43;-0.62;0.50;-1.26
69;13.24;-2.46;12.54;-0.66;-0.59;-2.12
